assessor_llm,assessor_char_id,assessor_char_name,target_llm,target_char_id,target_char_name,round_label,gt_E,gt_N,gt_C,gt_A,gt_O,inf_E,inf_N,inf_C,inf_A,inf_O,err_E,err_N,err_C,err_A,err_O,MAE,num_turns,timestamp
chatgpt,1000350,Bella Michelle Górska,claude,1037371,Bizarro Zane,original,50.0,0.0,100.0,25.0,75.0,15.0,70.0,90.0,45.0,80.0,35.0,70.0,10.0,20.0,5.0,28.0,10,2026-02-08T16:10:39.867552
claude,1037371,Bizarro Zane,chatgpt,1000350,Bella Michelle Górska,original,75.0,25.0,75.0,100.0,25.0,25.0,35.0,82.0,88.0,78.0,50.0,10.0,7.0,12.0,53.0,26.4,10,2026-02-08T16:10:47.163770
chatgpt,1037371,Bizarro Zane,claude,1000350,Bella Michelle Górska,swapped,75.0,25.0,75.0,100.0,25.0,25.0,80.0,70.0,85.0,90.0,50.0,55.0,5.0,15.0,65.0,38.0,10,2026-02-08T16:15:44.037596
claude,1000350,Bella Michelle Górska,chatgpt,1037371,Bizarro Zane,swapped,50.0,0.0,100.0,25.0,75.0,25.0,75.0,70.0,60.0,80.0,25.0,75.0,30.0,35.0,5.0,34.0,10,2026-02-08T16:15:52.374823
chatgpt,1000350,Bella Michelle Górska,deepseek,1037371,Bizarro Zane,original,50.0,0.0,100.0,25.0,75.0,10.0,15.0,90.0,20.0,65.0,40.0,15.0,10.0,5.0,10.0,16.0,10,2026-02-08T16:18:32.756715
deepseek,1037371,Bizarro Zane,chatgpt,1000350,Bella Michelle Górska,original,75.0,25.0,75.0,100.0,25.0,40.0,25.0,70.0,85.0,95.0,35.0,0.0,5.0,15.0,70.0,25.0,10,2026-02-08T16:18:42.961006
chatgpt,1037371,Bizarro Zane,deepseek,1000350,Bella Michelle Górska,swapped,75.0,25.0,75.0,100.0,25.0,30.0,70.0,65.0,85.0,90.0,45.0,45.0,10.0,15.0,65.0,36.0,10,2026-02-08T16:21:08.983552
deepseek,1000350,Bella Michelle Górska,chatgpt,1037371,Bizarro Zane,swapped,50.0,0.0,100.0,25.0,75.0,40.0,65.0,75.0,85.0,80.0,10.0,65.0,25.0,60.0,5.0,33.0,10,2026-02-08T16:21:20.198464
chatgpt,1000350,Bella Michelle Górska,grok,1037371,Bizarro Zane,original,50.0,0.0,100.0,25.0,75.0,20.0,35.0,85.0,5.0,80.0,30.0,35.0,15.0,20.0,5.0,21.0,10,2026-02-08T16:22:45.042677
grok,1037371,Bizarro Zane,chatgpt,1000350,Bella Michelle Górska,original,75.0,25.0,75.0,100.0,25.0,20.0,30.0,80.0,70.0,60.0,55.0,5.0,5.0,30.0,35.0,26.0,10,2026-02-08T16:22:47.955136
chatgpt,1037371,Bizarro Zane,grok,1000350,Bella Michelle Górska,swapped,75.0,25.0,75.0,100.0,25.0,25.0,72.0,63.0,90.0,82.0,50.0,47.0,12.0,10.0,57.0,35.2,10,2026-02-08T16:25:52.713967
grok,1000350,Bella Michelle Górska,chatgpt,1037371,Bizarro Zane,swapped,50.0,0.0,100.0,25.0,75.0,30.0,75.0,60.0,85.0,65.0,20.0,75.0,40.0,60.0,10.0,41.0,10,2026-02-08T16:25:57.051183
claude,1000350,Bella Michelle Górska,deepseek,1037371,Bizarro Zane,original,50.0,0.0,100.0,25.0,75.0,25.0,82.0,68.0,78.0,60.0,25.0,82.0,32.0,53.0,15.0,41.4,10,2026-02-08T16:28:43.501582
deepseek,1037371,Bizarro Zane,claude,1000350,Bella Michelle Górska,original,75.0,25.0,75.0,100.0,25.0,35.0,15.0,85.0,5.0,70.0,40.0,10.0,10.0,95.0,45.0,40.0,10,2026-02-08T16:28:50.431917
claude,1037371,Bizarro Zane,deepseek,1000350,Bella Michelle Górska,swapped,75.0,25.0,75.0,100.0,25.0,25.0,20.0,55.0,95.0,85.0,50.0,5.0,20.0,5.0,60.0,28.0,10,2026-02-08T16:31:56.112369
deepseek,1000350,Bella Michelle Górska,claude,1037371,Bizarro Zane,swapped,50.0,0.0,100.0,25.0,75.0,15.0,75.0,90.0,40.0,85.0,35.0,75.0,10.0,15.0,10.0,29.0,10,2026-02-08T16:32:02.854208
claude,1000350,Bella Michelle Górska,grok,1037371,Bizarro Zane,original,50.0,0.0,100.0,25.0,75.0,20.0,35.0,75.0,85.0,70.0,30.0,35.0,25.0,60.0,5.0,31.0,10,2026-02-08T16:35:28.175719
grok,1037371,Bizarro Zane,claude,1000350,Bella Michelle Górska,original,75.0,25.0,75.0,100.0,25.0,10.0,70.0,90.0,5.0,20.0,65.0,45.0,15.0,95.0,5.0,45.0,10,2026-02-08T16:35:33.036011
claude,1037371,Bizarro Zane,grok,1000350,Bella Michelle Górska,swapped,75.0,25.0,75.0,100.0,25.0,25.0,55.0,45.0,92.0,75.0,50.0,30.0,30.0,8.0,50.0,33.6,10,2026-02-08T16:39:06.961185
grok,1000350,Bella Michelle Górska,claude,1037371,Bizarro Zane,swapped,50.0,0.0,100.0,25.0,75.0,20.0,70.0,90.0,30.0,60.0,30.0,70.0,10.0,5.0,15.0,26.0,10,2026-02-08T16:39:10.749576
deepseek,1000350,Bella Michelle Górska,grok,1037371,Bizarro Zane,original,50.0,0.0,100.0,25.0,75.0,15.0,30.0,85.0,90.0,75.0,35.0,30.0,15.0,65.0,0.0,29.0,10,2026-02-08T16:41:08.133083
grok,1037371,Bizarro Zane,deepseek,1000350,Bella Michelle Górska,original,75.0,25.0,75.0,100.0,25.0,30.0,50.0,70.0,90.0,80.0,45.0,25.0,5.0,10.0,55.0,28.0,10,2026-02-08T16:41:11.139010
deepseek,1037371,Bizarro Zane,grok,1000350,Bella Michelle Górska,swapped,75.0,25.0,75.0,100.0,25.0,35.0,25.0,70.0,95.0,85.0,40.0,0.0,5.0,5.0,60.0,22.0,10,2026-02-08T16:42:36.664117
grok,1000350,Bella Michelle Górska,deepseek,1037371,Bizarro Zane,swapped,50.0,0.0,100.0,25.0,75.0,10.0,5.0,95.0,5.0,15.0,40.0,5.0,5.0,20.0,60.0,26.0,10,2026-02-08T16:42:41.888576
chatgpt,1000507,Connor Mark Sousa,claude,1022936,Marty,original,100.0,75.0,0.0,0.0,25.0,90.0,70.0,55.0,90.0,85.0,10.0,5.0,55.0,90.0,60.0,44.0,10,2026-02-08T16:46:17.922640
claude,1022936,Marty,chatgpt,1000507,Connor Mark Sousa,original,25.0,100.0,25.0,100.0,75.0,88.0,68.0,62.0,82.0,78.0,63.0,32.0,37.0,18.0,3.0,30.6,10,2026-02-08T16:46:26.542967
chatgpt,1022936,Marty,claude,1000507,Connor Mark Sousa,swapped,25.0,100.0,25.0,100.0,75.0,25.0,80.0,55.0,85.0,90.0,0.0,20.0,30.0,15.0,15.0,16.0,10,2026-02-08T16:49:55.021087
